Date,Close,High,Low,Open,Volume,MA20,MA50,MA200,DailyReturn,CumReturn,BB_Upper,BB_Lower,RSI14
2022-12-01,57.517295837402344,57.80582878693869,57.192695409277945,57.354995623340145,12001400,54.841,52.5451,54.7044,0.00283,1.274172,57.7462,51.9358,81.12
2022-12-02,58.02222442626953,58.17550604467651,57.16564420183726,57.35499329736962,13643500,55.1108,52.6444,54.7278,0.008779,1.285358,58.1492,52.0724,81.54
2022-12-05,57.228759765625,57.52630784878293,57.03940723316026,57.17465855069452,9185100,55.3194,52.7397,54.742,-0.013675,1.267781,58.3368,52.302,77.39
2022-12-06,57.20170974731445,57.59844512698443,57.012360646790526,57.27384470346682,10099500,55.5163,52.8475,54.7541,-0.000473,1.267181,58.4822,52.5504,78.33
2022-12-07,57.29187774658203,57.45417795636938,57.03039369308197,57.21072764168836,12307600,55.7129,52.9838,54.7679,0.001576,1.269178,58.5972,52.8286,80.21
2022-12-08,57.53532791137695,57.5713919493371,57.1205587987876,57.34597537406235,9946200,55.9588,53.1142,54.7859,0.004249,1.274571,58.5564,53.3612,80.49
2022-12-09,56.931209564208984,57.562376661377904,56.88612693717919,57.35499382537371,13914900,56.08,53.2398,54.8056,-0.0105,1.261188,58.6179,53.5421,70.16
2022-12-12,57.679595947265625,57.71566342578853,56.81399366063625,57.075477720551206,11647900,56.2189,53.3903,54.8187,0.013145,1.277766,58.789,53.6488,69.64
2022-12-13,57.6976318359375,58.33781068585528,57.526313026363596,58.238626836014426,17521600,56.3852,53.5299,54.8347,0.000313,1.278166,58.8815,53.8889,68.31
2022-12-14,57.6976318359375,58.292731495398414,57.31893017650736,57.87796579568594,12826700,56.5559,53.6671,54.8518,0.0,1.278166,58.9099,54.2019,66.68
2022-12-15,56.9041633605957,57.6074620062765,56.34513119196697,57.336962791751894,12212300,56.6919,53.7981,54.863,-0.013752,1.260589,58.7668,54.617,56.93
2022-12-16,56.579559326171875,56.93120862663059,56.20086113785754,56.579559326171875,33631500,56.8031,53.9443,54.8723,-0.005704,1.253399,58.5654,55.0408,53.74
2022-12-19,56.66071319580078,57.17466273672545,56.32709761159693,56.6516980457776,10919700,56.8992,54.1015,54.8817,0.001434,1.255196,58.3739,55.4245,56.21
2022-12-20,56.61562728881836,56.94022770420665,56.57955981164545,56.64267617690607,10286500,56.9509,54.2599,54.8973,-0.000796,1.254197,58.298,55.6038,41.67
2022-12-21,57.526309967041016,57.75172998442659,56.868093972610545,56.868093972610545,10411300,57.0361,54.4349,54.9281,0.016085,1.274371,58.2955,55.7767,50.09
2022-12-22,57.111549377441406,57.33696597532528,56.48940080553227,57.1836809001804,9666700,57.088,54.5897,54.9554,-0.00721,1.265182,58.2631,55.9129,41.06
2022-12-23,57.544342041015625,57.5894246673547,56.985309907326425,57.25580910494482,6463300,57.1588,54.7402,54.9897,0.007578,1.27477,58.2585,56.0591,53.33
2022-12-27,57.895999908447266,57.96813487293036,57.44516669918121,57.64353441192529,7320700,57.2468,54.9136,55.0256,0.006111,1.28256,58.2817,56.2119,56.86
2022-12-28,57.31892013549805,58.29272128380064,57.24678862798503,58.121402504238,7159400,57.3158,55.0628,55.0539,-0.009968,1.269775,58.1478,56.4838,50.24
2022-12-29,57.661556243896484,57.84189017827446,57.436139685819946,57.52630493321708,7169300,57.3311,55.2054,55.0791,0.005978,1.277366,58.1773,56.4849,51.12
2022-12-30,57.35499572753906,57.63451008814416,56.95826034151778,57.63451008814416,7650200,57.323,55.3505,55.1035,-0.005317,1.270574,58.1648,56.4812,53.96
2023-01-03,56.7598991394043,57.30991617989516,56.06561561612765,57.30991617989516,12180500,57.2599,55.4994,55.1222,-0.010376,1.257391,58.0696,56.4502,41.15
2023-01-04,56.732845306396484,57.102531813300864,56.36316223907628,56.940231594517925,13387900,57.2351,55.632,55.1407,-0.000477,1.256791,58.0785,56.3917,40.73
2023-01-05,56.08364486694336,56.62464327418719,55.975445873411395,56.44430932524459,9814700,57.1792,55.7228,55.1538,-0.011443,1.24241,58.1677,56.1907,36.21
2023-01-06,57.16564178466797,57.40908864601066,56.42627573278035,56.723823807523516,9990000,57.1729,55.8105,55.1714,0.019293,1.26638,58.16,56.1858,52.13
2023-01-09,56.45332717895508,57.45417731494208,56.42627829082049,57.07547568313816,9442600,57.1188,55.8761,55.1871,-0.012461,1.250599,58.1402,56.0974,49.03
2023-01-10,56.02052688598633,56.56152527763614,55.831174353283394,56.44430769826459,10134600,57.0732,55.9306,55.1982,-0.007667,1.241011,58.205,55.9414,45.35
2023-01-11,55.91232681274414,56.40824603884111,55.37132839829076,56.24594582658829,10823000,56.9849,55.9609,55.2062,-0.001931,1.238614,58.1909,55.7789,44.94
2023-01-12,55.19099044799805,56.06560781292385,54.97459247372975,56.002491450463616,13907300,56.8595,55.993,55.209,-0.012901,1.222635,58.2591,55.4599,32.71
2023-01-13,55.38935852050781,55.416407407589,54.63195872598019,54.731142564722965,13986400,56.7441,56.0328,55.2117,0.003594,1.227029,58.2307,55.2575,36.83
2023-01-17,55.61477279663086,56.245939839363174,55.50657381317448,55.659855419772384,18327800,56.6796,56.0921,55.2153,0.00407,1.232023,58.2466,55.1126,34.76
2023-01-18,53.92866134643555,55.533626221233845,53.8114437671664,55.46149126796548,19679400,56.5471,56.1181,55.2113,-0.030318,1.194671,58.5403,54.5539,24.12
2023-01-19,53.84751892089844,54.67705036424845,53.83850033066216,53.856534071550335,14894500,56.4064,56.1339,55.2032,-0.001505,1.192873,58.7347,54.0781,25.79
2023-01-20,54.172115325927734,54.18113047590535,53.55898193992627,53.847514893387654,14237700,56.2843,56.1521,55.1981,0.006028,1.200063,58.8141,53.7545,25.6
2023-01-23,54.30736541748047,54.613932122925014,54.14506519462252,54.35244804836673,12613400,56.1233,56.171,55.194,0.002497,1.20306,58.7288,53.5178,28.17
2023-01-24,54.595890045166016,55.768055467125535,53.919640366391256,54.172109252050774,10103300,55.9975,56.2106,55.1886,0.005313,1.209452,58.6447,53.3503,33.78
2023-01-25,54.938533782958984,54.9475489335018,54.00079990562707,54.28031772663495,11265800,55.8672,56.2192,55.1833,0.006276,1.217042,58.4496,53.2848,37.16
2023-01-26,54.83033752441406,55.091818178262535,54.61393606512154,54.83033752441406,11884800,55.714,56.2178,55.1758,-0.001969,1.214646,58.1491,53.2789,40.28
2023-01-27,54.54179000854492,54.965570784071964,54.433587587931406,54.857371803042035,14087000,55.5751,56.2212,55.167,-0.005263,1.208253,57.9406,53.2096,26.79
2023-01-30,54.67704391479492,55.154925953417596,54.51474370552987,54.58687866057387,15632000,55.4259,56.2291,55.1555,0.00248,1.21125,57.6065,53.2453,32.5
2023-01-31,55.29018020629883,55.30821394601613,54.55982922587653,54.98361351027289,14344400,55.3226,56.2512,55.1464,0.011214,1.224833,57.3051,53.3401,43.05
2023-02-01,55.2991943359375,55.524610904847236,54.65900866615009,55.12787554223242,12535400,55.2496,56.2701,55.136,0.000163,1.225032,57.1133,53.3859,44.06
2023-02-02,54.35244369506836,55.01967827333011,54.01882812572948,54.82131058581748,16947200,55.1306,56.2623,55.1234,-0.017121,1.204059,56.8969,53.3643,42.21
2023-02-03,53.94669723510742,54.478677058539205,53.40569538278164,54.415560691705466,15404400,55.0237,56.2297,55.106,-0.007465,1.19507,56.8057,53.2417,37.1
2023-02-06,54.253257751464844,54.40654280576923,53.847510682106346,53.910627045765835,11330900,54.8781,56.1983,55.0863,0.005683,1.201862,56.3766,53.3796,38.0
2023-02-07,54.163089752197266,54.31637479872404,53.685207754570335,53.80242188708552,14922700,54.7636,56.1601,55.0649,-0.001662,1.199864,56.0961,53.4311,52.88
2023-02-08,53.84751892089844,54.027849450611484,53.730301324917455,54.027849450611484,11012000,54.655,56.1145,55.0463,-0.005826,1.192874,55.908,53.402,50.0
